Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,YTD Expenditure (Line Item),Department Total YTD,PDF File,PDF Page
71000 Instruction,FY11,71100,Regular Instruction Program,449,Textbooks,"74,166.62",,fund141FY11.pdf,19
71000 Instruction,FY11,71100,Regular Instruction Program,499,Other Supplies And Materials,"8,029.96",,fund141FY11.pdf,19
71000 Instruction,FY11,71100,Regular Instruction Program,599,Other Charges,988.19,,fund141FY11.pdf,19
71000 Instruction,FY11,71100,Regular Instruction Program,722,Regular Instruction Equipment,"25,373.75",,fund141FY11.pdf,19
71000 Instruction,FY11,71100,Regular Instruction Program,,Department Total,,"3,348,828.95",fund141FY11.pdf,19
71000 Instruction,FY11,71150,Alternative Instruction Program,116,Teachers,"46,524.96",,fund141FY11.pdf,19
71000 Instruction,FY11,71150,Alternative Instruction Program,163,Educational Assistants,"16,290.96",,fund141FY11.pdf,19
71000 Instruction,FY11,71150,Alternative Instruction Program,201,Social Security,"3,662.15",,fund141FY11.pdf,19
71000 Instruction,FY11,71150,Alternative Instruction Program,204,State Retirement,"5,217.36",,fund141FY11.pdf,19
71000 Instruction,FY11,71150,Alternative Instruction Program,207,Medical Insurance,"11,756.60",,fund141FY11.pdf,19
71000 Instruction,FY11,71150,Alternative Instruction Program,210,Unemployment Compensation,57.28,,fund141FY11.pdf,19
71000 Instruction,FY11,71150,Alternative Instruction Program,212,Employer Medicare,856.46,,fund141FY11.pdf,19
71000 Instruction,FY11,71150,Alternative Instruction Program,,Department Total,,"84,365.77",fund141FY11.pdf,19
71000 Instruction,FY11,71200,Special Education Program,116,Teachers,"283,069.22",,fund141FY11.pdf,19
71000 Instruction,FY11,71200,Special Education Program,117,Career Ladder Program,"5,000.08",,fund141FY11.pdf,19
71000 Instruction,FY11,71200,Special Education Program,128,Homebound Teachers,"6,109.49",,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,163,Educational Assistants,"62,191.25",,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,195,Certified Substitute Teachers,150,,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,198,Non-Certified Substitute Teachers,"5,365.00",,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,201,Social Security,"21,263.52",,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,204,State Retirement,"30,308.79",,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,207,Medical Insurance,"66,625.89",,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,210,Unemployment Compensation,400.94,,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,212,Employer Medicare,"4,972.93",,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,312,Contracts With Private Agencies,0,,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,429,Instructional Supplies And Materials,0,,fund141FY11.pdf,20
71000 Instruction,FY11,71200,Special Education Program,,Department Total,,"485,457.11",fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,116,Teachers,"173,718.86",,fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,117,Career Ladder Program,"1,905.84",,fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,201,Social Security,"10,427.55",,fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,204,State Retirement,"15,893.75",,fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,207,Medical Insurance,"25,147.41",,fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,210,Unemployment Compensation,171.83,,fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,212,Employer Medicare,"2,438.39",,fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,429,Instructional Supplies And Materials,"2,987.62",,fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,599,Other Charges,267.84,,fund141FY11.pdf,20
71000 Instruction,FY11,71300,Vocational Education Program,,Department Total,,"232,959.09",fund141FY11.pdf,20
72000 Support Services,FY11,72110,Attendance,105,Supervisor/Director,"5,769.54",,fund141FY11.pdf,21
72000 Support Services,FY11,72110,Attendance,201,Social Security,348.6,,fund141FY11.pdf,21
72000 Support Services,FY11,72110,Attendance,204,State Retirement,522.12,,fund141FY11.pdf,21
72000 Support Services,FY11,72110,Attendance,207,Medical Insurance,339.02,,fund141FY11.pdf,21
72000 Support Services,FY11,72110,Attendance,210,Unemployment Compensation,0,,fund141FY11.pdf,21
72000 Support Services,FY11,72110,Attendance,212,Employer Medicare,81.52,,fund141FY11.pdf,21
72000 Support Services,FY11,72110,Attendance,,Department Total,,"7,060.80",fund141FY11.pdf,21
72000 Support Services,FY11,72120,Health Services,131,Medical Personnel,"41,829.84",,fund141FY11.pdf,21
72000 Support Services,FY11,72120,Health Services,201,Social Security,"2,593.45",,fund141FY11.pdf,21
72000 Support Services,FY11,72120,Health Services,204,State Retirement,"3,785.55",,fund141FY11.pdf,21
72000 Support Services,FY11,72120,Health Services,210,Unemployment Compensation,57.28,,fund141FY11.pdf,21
72000 Support Services,FY11,72120,Health Services,212,Employer Medicare,606.53,,fund141FY11.pdf,21
72000 Support Services,FY11,72120,Health Services,355,Travel,0,,fund141FY11.pdf,21
72000 Support Services,FY11,72120,Health Services,499,Other Supplies And Materials,807.93,,fund141FY11.pdf,21
72000 Support Services,FY11,72120,Health Services,599,Other Charges,257.75,,fund141FY11.pdf,21
72000 Support Services,FY11,72120,Health Services,,Department Total,,"49,938.33",fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,117,Career Ladder Program,"1,000.08",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,123,Guidance Personnel,"129,883.71",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,162,Clerical Personnel,"2,000.16",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,189,Other Salaries & Wages,"26,086.63",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,201,Social Security,"9,539.58",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,204,State Retirement,"14,329.57",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,207,Medical Insurance,"16,618.91",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,210,Unemployment Compensation,114.55,,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,212,Employer Medicare,"2,231.02",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,307,Communication,628.41,,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,309,Contracts With Government Agencies,"34,092.97",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,322,Evaluation And Testing,"3,577.46",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,348,Postal Charges,59.59,,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,399,Other Contracted Services,"20,000.00",,fund141FY11.pdf,21
72000 Support Services,FY11,72130,Other Student Support,499,Other Supplies And Materials,"32,613.24",,fund141FY11.pdf,22
72000 Support Services,FY11,72130,Other Student Support,524,In-Service/Staff Development,"3,413.31",,fund141FY11.pdf,22
72000 Support Services,FY11,72130,Other Student Support,599,Other Charges,"9,564.60",,fund141FY11.pdf,22
72000 Support Services,FY11,72130,Other Student Support,790,Other Equipment,"4,968.19",,fund141FY11.pdf,22
72000 Support Services,FY11,72130,Other Student Support,,Department Total,,"310,721.98",fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,105,Supervisor/Director,"167,435.74",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,117,Career Ladder Program,"1,000.08",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,129,Librarians,"78,916.08",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,163,Educational Assistants,"14,697.91",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,189,Other Salaries & Wages,"59,175.08",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,201,Social Security,"18,769.33",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,204,State Retirement,"26,950.56",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,207,Medical Insurance,"65,119.10",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,210,Unemployment Compensation,286.39,,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,212,Employer Medicare,"4,389.55",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,336,Maintenance And Repair Services-Equipr,0,,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,355,Travel,"1,955.51",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,432,Library Books/Media,"3,588.97",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,499,Other Supplies And Materials,"1,330.97",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,524,In-Service/Staff Development,"3,468.17",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,790,Other Equipment,"2,976.00",,fund141FY11.pdf,22
72000 Support Services,FY11,72210,Regular Instruction Program,,Department Total,,"450,059.44",fund141FY11.pdf,22
72000 Support Services,FY11,72220,Special Education Program,162,Clerical Personnel,"2,000.00",,fund141FY11.pdf,22
72000 Support Services,FY11,72220,Special Education Program,201,Social Security,122.36,,fund141FY11.pdf,22
72000 Support Services,FY11,72220,Special Education Program,204,State Retirement,123.6,,fund141FY11.pdf,22
72000 Support Services,FY11,72220,Special Education Program,207,Medical Insurance,87.82,,fund141FY11.pdf,22
72000 Support Services,FY11,72220,Special Education Program,212,Employer Medicare,28.62,,fund141FY11.pdf,22
72000 Support Services,FY11,72220,Special Education Program,355,Travel,414,,fund141FY11.pdf,22
72000 Support Services,FY11,72220,Special Education Program,,Department Total,,"2,776.40",fund141FY11.pdf,22
72000 Support Services,FY11,72230,Vocational Education Program,105,Supervisor/Director,"19,915.00",,fund141FY11.pdf,23
72000 Support Services,FY11,72230,Vocational Education Program,117,Career Ladder Program,434.16,,fund141FY11.pdf,23
72000 Support Services,FY11,72230,Vocational Education Program,201,Social Security,"1,215.67",,fund141FY11.pdf,23
72000 Support Services,FY11,72230,Vocational Education Program,204,State Retirement,"1,841.78",,fund141FY11.pdf,23
72000 Support Services,FY11,72230,Vocational Education Program,207,Medical Insurance,"1,290.75",,fund141FY11.pdf,23
72000 Support Services,FY11,72230,Vocational Education Program,210,Unemployment Compensation,0,,fund141FY11.pdf,23
72000 Support Services,FY11,72230,Vocational Education Program,212,Employer Medicare,284.36,,fund141FY11.pdf,23
72000 Support Services,FY11,72230,Vocational Education Program,,Department Total,,"24,981.72",fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,191,Board And Committee Members Fees,"1,600.00",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,201,Social Security,99.2,,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,207,Medical Insurance,"11,905.26",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,212,Employer Medicare,23.22,,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,305,Audit Services,"3,350.00",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,320,Dues And Memberships,"5,915.00",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,355,Travel,0,,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,506,Liability Insurance,"12,838.00",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,508,Premiums On Corporate Surety Bonds,175,,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,510,Trustee's Commission,"56,094.52",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,513,Workman's Compensation Insurance,"66,770.00",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,524,In-Service/Staff Development,"1,425.82",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,533,Criminal Investigation Of Applicants - TE,"2,040.00",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,599,Other Charges,"5,581.65",,fund141FY11.pdf,23
72000 Support Services,FY11,72310,Board Of Education,,Department Total,,"167,817.67",fund141FY11.pdf,23
72000 Support Services,FY11,72320,Director Of Schools,101,County Official/Administrative Officer,"74,000.16",,fund141FY11.pdf,23
72000 Support Services,FY11,72320,Director Of Schools,117,Career Ladder Program,"1,000.00",,fund141FY11.pdf,23
72000 Support Services,FY11,72320,Director Of Schools,201,Social Security,"4,650.01",,fund141FY11.pdf,23
72000 Support Services,FY11,72320,Director Of Schools,204,State Retirement,"6,787.46",,fund141FY11.pdf,23
72000 Support Services,FY11,72320,Director Of Schools,207,Medical Insurance,"13,888.74",,fund141FY11.pdf,23
72000 Support Services,FY11,72320,Director Of Schools,208,Dental Insurance,789.84,,fund141FY11.pdf,23
72000 Support Services,FY11,72320,Director Of Schools,212,Employer Medicare,"1,087.50",,fund141FY11.pdf,23
72000 Support Services,FY11,72320,Director Of Schools,307,Communication,"20,295.56",,fund141FY11.pdf,23
72000 Support Services,FY11,72320,Director Of Schools,355,Travel,"2,974.24",,fund141FY11.pdf,24
72000 Support Services,FY11,72320,Director Of Schools,435,Office Supplies,"5,060.40",,fund141FY11.pdf,24
72000 Support Services,FY11,72320,Director Of Schools,599,Other Charges,"7,735.00",,fund141FY11.pdf,24
72000 Support Services,FY11,72320,Director Of Schools,701,Administration Equipment,"9,371.48",,fund141FY11.pdf,24
72000 Support Services,FY11,72320,Director Of Schools,,Department Total,,"147,640.39",fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,104,Principals,"122,263.19",,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,117,Career Ladder Program,"3,000.16",,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,139,Assistant Principals,"102,515.06",,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,161,Secretary(s),"61,335.45",,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,162,Clerical Personnel,"54,806.58",,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,201,Social Security,"20,075.94",,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,204,State Retirement,"27,791.49",,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,207,Medical Insurance,"74,229.95",,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,210,Unemployment Compensation,343.66,,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,212,Employer Medicare,"4,695.19",,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,307,Communication,359.94,,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,599,Other Charges,440.02,,fund141FY11.pdf,24
72000 Support Services,FY11,72410,Office Of The Principal,,Department Total,,"471,856.63",fund141FY11.pdf,24
72000 Support Services,FY11,72510,Fiscal Services,105,Supervisor/Director,"36,745.92",,fund141FY11.pdf,24
72000 Support Services,FY11,72510,Fiscal Services,119,Accountants/Bookkeepers,"29,415.86",,fund141FY11.pdf,24
72000 Support Services,FY11,72510,Fiscal Services,201,Social Security,"3,967.49",,fund141FY11.pdf,24
72000 Support Services,FY11,72510,Fiscal Services,204,State Retirement,"4,088.88",,fund141FY11.pdf,24
72000 Support Services,FY11,72510,Fiscal Services,207,Medical Insurance,"4,328.37",,fund141FY11.pdf,24
72000 Support Services,FY11,72510,Fiscal Services,210,Unemployment Compensation,57.28,,fund141FY11.pdf,24
72000 Support Services,FY11,72510,Fiscal Services,212,Employer Medicare,927.91,,fund141FY11.pdf,24
72000 Support Services,FY11,72510,Fiscal Services,,Department Total,,"79,531.71",fund141FY11.pdf,24
72000 Support Services,FY11,72610,Operation Of Plant,166,Custodial Personnel,"168,559.65",,fund141FY11.pdf,24
72000 Support Services,FY11,72610,Operation Of Plant,201,Social Security,"9,477.83",,fund141FY11.pdf,24
72000 Support Services,FY11,72610,Operation Of Plant,204,State Retirement,"9,380.04",,fund141FY11.pdf,24
72000 Support Services,FY11,72610,Operation Of Plant,207,Medical Insurance,"52,157.98",,fund141FY11.pdf,24
72000 Support Services,FY11,72610,Operation Of Plant,210,Unemployment Compensation,343.66,,fund141FY11.pdf,25
72000 Support Services,FY11,72610,Operation Of Plant,212,Employer Medicare,"2,216.53",,fund141FY11.pdf,25
72000 Support Services,FY11,72610,Operation Of Plant,399,Other Contracted Services,"4,470.40",,fund141FY11.pdf,25
72000 Support Services,FY11,72610,Operation Of Plant,415,Electricity,"269,885.66",,fund141FY11.pdf,25
72000 Support Services,FY11,72610,Operation Of Plant,434,Natural Gas,"36,091.70",,fund141FY11.pdf,25
72000 Support Services,FY11,72610,Operation Of Plant,454,Water And Sewer,"42,014.38",,fund141FY11.pdf,25
72000 Support Services,FY11,72610,Operation Of Plant,499,Other Supplies And Materials,"54,996.07",,fund141FY11.pdf,25
72000 Support Services,FY11,72610,Operation Of Plant,502,Building And Contents Insurance,"37,587.00",,fund141FY11.pdf,25
72000 Support Services,FY11,72610,Operation Of Plant,,Department Total,,"687,180.90",fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,167,Maintenance Personnel,"83,900.82",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,201,Social Security,"5,088.91",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,204,State Retirement,"5,089.14",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,207,Medical Insurance,"5,780.43",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,210,Unemployment Compensation,114.55,,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,212,Employer Medicare,"1,190.16",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,335,Maintenance And Repair Services-Buildir,"5,035.30",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,336,Maintenance And Repair Services-Equipr,"16,685.10",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,399,Other Contracted Services,"7,875.00",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,499,Other Supplies And Materials,"30,842.11",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,599,Other Charges,"6,894.52",,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,717,Maintenance Equipment,0,,fund141FY11.pdf,25
72000 Support Services,FY11,72620,Maintenance Of Plant,,Department Total,,"168,496.04",fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,142,Mechanic(s),"33,800.00",,fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,146,Bus Drivers,"182,689.67",,fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,201,Social Security,"12,511.89",,fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,204,State Retirement,"13,429.55",,fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,207,Medical Insurance,"8,243.80",,fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,210,Unemployment Compensation,458.22,,fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,212,Employer Medicare,"3,086.25",,fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,340,Medical And Dental Services,"1,953.00",,fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,412,Diesel Fuel,"53,812.65",,fund141FY11.pdf,25
72000 Support Services,FY11,72710,Transportation,450,Tires And Tubes,"2,427.64",,fund141FY11.pdf,26
72000 Support Services,FY11,72710,Transportation,453,Vehicle Parts,"19,218.85",,fund141FY11.pdf,26
72000 Support Services,FY11,72710,Transportation,499,Other Supplies And Materials,943.55,,fund141FY11.pdf,26
72000 Support Services,FY11,72710,Transportation,511,Vehicle And Equipment Insurance,"11,002.00",,fund141FY11.pdf,26
72000 Support Services,FY11,72710,Transportation,599,Other Charges,"7,371.68",,fund141FY11.pdf,26
72000 Support Services,FY11,72710,Transportation,,Department Total,,"350,948.75",fund141FY11.pdf,26
73000 Operation Of Non-Instructional Services,FY11,73100,Food Service,710,Food Service Equipment,"4,986.55",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73100,Food Service,,Department Total,,"4,986.55",fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73300,Community Services,189,Other Salaries & Wages,"23,575.57",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73300,Community Services,201,Social Security,"1,416.46",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73300,Community Services,204,State Retirement,719.51,,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73300,Community Services,207,Medical Insurance,"2,788.43",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73300,Community Services,210,Unemployment Compensation,57.28,,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73300,Community Services,212,Employer Medicare,331.19,,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73300,Community Services,499,Other Supplies And Materials,"3,685.51",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73300,Community Services,,Department Total,,"32,573.95",fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,105,Supervisor/Director,"6,400.08",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,116,Teachers,"37,388.12",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,163,Educational Assistants,"21,936.14",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,201,Social Security,"3,777.39",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,204,State Retirement,"5,318.38",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,207,Medical Insurance,"15,287.70",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,210,Unemployment Compensation,114.55,,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,212,Employer Medicare,883.42,,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,429,Instructional Supplies And Materials,"3,370.59",,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,524,In-Service/Staff Development,512.76,,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,599,Other Charges,647.78,,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,790,Other Equipment,0,,fund141FY11.pdf,27
73000 Operation Of Non-Instructional Services,FY11,73400,Early Childhood Education,,Department Total,,"95,636.91",fund141FY11.pdf,27
76000 Capital Outlay,FY11,76100,Regular Capital Outlay,707,Building Improvements,"34,759.86",,fund141FY11.pdf,28
76000 Capital Outlay,FY11,76100,Regular Capital Outlay,,Department Total,,"34,759.86",fund141FY11.pdf,28
82000 Debt Service,FY11,82130,Education,610,Principal On Capital Leases,"18,842.66",,fund141FY11.pdf,29
82000 Debt Service,FY11,82130,Education,,Department Total,,"18,842.66",fund141FY11.pdf,29
82000 Debt Service,FY11,82230,Education,611,Interest On Capital Leases,"10,257.66",,fund141FY11.pdf,30
82000 Debt Service,FY11,82230,Education,,Department Total,,"10,257.66",fund141FY11.pdf,30
71000 Instruction,FY12,71100,Regular Instruction Program,116,Teachers,"2,128,953.76",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,117,Career Ladder Program,"28,083.50",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,127,Career Ladder Extended Contracts,"7,991.54",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,128,Homebound Teachers,"12,922.95",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,163,Educational Assistants,"63,061.27",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,189,Other Salaries & Wages Certified,"6,648.14",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,195,Substitute Teachers,"10,000.00",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,198,Non-Certified Substitute Teachers,"42,057.50",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,201,Social Security,"135,972.35",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,204,State Retirement,"199,930.45",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,207,Medical Insurance,"391,113.31",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,210,Unemployment Compensation,0,,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,212,Employer Medicare,"31,785.83",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,336,Maintenance And Repair Services-Equipr,185.41,,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,429,Instructional Supplies And Materials,"39,990.90",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,449,Textbooks,"86,026.15",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,499,Other Supplies And Materials,"7,293.79",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,599,Other Charges,788.14,,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,722,Regular Instruction Equipment,"91,227.91",,fund141FY12.pdf,21
71000 Instruction,FY12,71100,Regular Instruction Program,,Department Total,,"3,284,032.90",fund141FY12.pdf,21
71000 Instruction,FY12,71150,Alternative Instruction Program,116,Teachers,"47,369.04",,fund141FY12.pdf,21
71000 Instruction,FY12,71150,Alternative Instruction Program,163,Educational Assistants,"16,572.00",,fund141FY12.pdf,21
71000 Instruction,FY12,71150,Alternative Instruction Program,201,Social Security,"3,719.82",,fund141FY12.pdf,21
71000 Instruction,FY12,71150,Alternative Instruction Program,204,State Retirement,"5,310.96",,fund141FY12.pdf,21
71000 Instruction,FY12,71150,Alternative Instruction Program,207,Medical Insurance,"12,375.78",,fund141FY12.pdf,21
71000 Instruction,FY12,71150,Alternative Instruction Program,210,Unemployment Compensation,0,,fund141FY12.pdf,21
71000 Instruction,FY12,71150,Alternative Instruction Program,212,Employer Medicare,869.96,,fund141FY12.pdf,21
71000 Instruction,FY12,71150,Alternative Instruction Program,,Department Total,,"86,217.56",fund141FY12.pdf,21
71000 Instruction,FY12,71200,Special Education Program,116,Teachers,"273,243.90",,fund141FY12.pdf,21
71000 Instruction,FY12,71200,Special Education Program,117,Career Ladder Program,"1,000.00",,fund141FY12.pdf,21
71000 Instruction,FY12,71200,Special Education Program,128,Homebound Teachers,"9,338.74",,fund141FY12.pdf,22
71000 Instruction,FY12,71200,Special Education Program,163,Educational Assistants,"62,827.20",,fund141FY12.pdf,22
71000 Instruction,FY12,71200,Special Education Program,195,Certified Substitute Teachers,330,,fund141FY12.pdf,22
