Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,Year-to-Date Expenditures,Department Total,PDF file,PDF page
54000 - Public Safety,FY10,54210,Jail,196,In-Service Training,"1,152.46",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,309,Contracts With Government Agencies,"4,330.00",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,335,Maintenance And Repair Services-Buildir,"3,018.82",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,336,Maintenance And Repair Services-Equipr,"1,089.03",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,340,Medical And Dental Services,"10,260.52",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,347,Pest Control,247,,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,399,Other Contracted Services,0,,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,410,Custodial Supplies,"2,890.68",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,413,Drugs And Medical Supplies,"8,497.48",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,415,Electricity,"17,022.13",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,421,Food Preparation Supplies,429.57,,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,422,Food Supplies,"24,803.55",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,434,Natural Gas,"3,489.21",,FY10.pdf,6
54000 - Public Safety,FY10,54210,Jail,441,Prisoners Clothing,"1,509.24",,FY10.pdf,7
54000 - Public Safety,FY10,54210,Jail,451,Uniforms,"1,373.27",,FY10.pdf,7
54000 - Public Safety,FY10,54210,Jail,454,Water And Sewer,"11,021.06",,FY10.pdf,7
54000 - Public Safety,FY10,54210,Jail,599,Other Charges,603.76,,FY10.pdf,7
54000 - Public Safety,FY10,54210,Jail,,,,"256,160.13",FY10.pdf,7
54000 - Public Safety,FY10,54260,Commissary,348,Postal Charges,0,,FY10.pdf,7
54000 - Public Safety,FY10,54260,Commissary,349,"Printing, Stationery And Forms",178.67,,FY10.pdf,7
54000 - Public Safety,FY10,54260,Commissary,413,Drugs And Medical Supplies,310,,FY10.pdf,7
54000 - Public Safety,FY10,54260,Commissary,422,Food Supplies,550,,FY10.pdf,7
54000 - Public Safety,FY10,54260,Commissary,435,Office Supplies,217.5,,FY10.pdf,7
54000 - Public Safety,FY10,54260,Commissary,499,Other Supplies And Materials,0,,FY10.pdf,7
54000 - Public Safety,FY10,54260,Commissary,,,,"1,256.17",FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,169,Part-Time Personnel,"12,180.00",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,196,In-Service Training,"2,227.18",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,307,Communication,"2,347.68",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,334,Maintenance Agreements,"5,305.29",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,335,Maintenance And Repair Services-Buildir,"9,399.60",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,338,Maintenance And Repair Services-Vehicle,"19,266.44",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,347,Pest Control,247,,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,351,Rentals,0,,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,415,Electricity,"2,689.06",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,425,Gasoline,"3,434.09",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,434,Natural Gas,"5,314.11",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,435,Office Supplies,357.76,,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,454,Water And Sewer,697.83,,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,503,Excess Risk Insurance,"1,480.00",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,790,Other Equipment,"44,227.68",,FY10.pdf,7
54000 - Public Safety,FY10,54310,Fire Prevention And Control,,,,"109,173.72",FY10.pdf,7
54000 - Public Safety,FY10,54490,Other Emergency Management,499,Other Supplies And Materials,"56,600.52",,FY10.pdf,7
54000 - Public Safety,FY10,54490,Other Emergency Management,,,,"56,600.52",FY10.pdf,7
55000 - Public Health and Welfare,FY10,55110,Local Health Center,131,Medical Personnel,"23,522.90",,FY10.pdf,7
55000 - Public Health and Welfare,FY10,55110,Local Health Center,187,Overtime Pay,23.78,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,307,Communication,"2,055.77",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,309,Contracts With Government Agencies,"14,000.00",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,312,Contracts With Private Agencies,"9,600.00",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,335,Maintenance And Repair Services-Buildir,344.01,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,347,Pest Control,247,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,348,Postal Charges,0,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,355,Travel,683.78,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,399,Other Contracted Services,200,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,410,Custodial Supplies,0,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,413,Drugs And Medical Supplies,0,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,435,Office Supplies,133,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,452,Utilities,"5,773.11",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,454,Water And Sewer,60.61,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,499,Other Supplies And Materials,"1,433.12",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,599,Other Charges,"3,706.86",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55110,Local Health Center,,,,"61,783.94",FY10.pdf,8
55000 - Public Health and Welfare,FY10,55120,Rabies And Animal Control,499,Other Supplies And Materials,"1,085.00",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55120,Rabies And Animal Control,,,,"1,085.00",FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,105,Supervisor/Director,"39,999.92",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,133,Paraprofessionals,"146,552.89",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,169,Part-Time Personnel,"24,340.66",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,186,Longevity Pay,"9,000.00",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,187,Overtime Pay,"28,109.52",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,189,Other Salaries & Wages,"1,484.76",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,196,In-Service Training,"1,134.00",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,307,Communication,"1,561.59",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,317,Data Processing Services,"7,550.19",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,320,Dues And Memberships,"1,405.00",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,335,Maintenance And Repair Services-Buildir,"1,088.35",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,336,Maintenance And Repair Services-Equipr,"3,599.38",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,338,Maintenance And Repair Services-Vehicle,"4,618.90",,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,340,Medical And Dental Services,0,,FY10.pdf,8
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,347,Pest Control,247,,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,348,Postal Charges,0,,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,355,Travel,0,,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,413,Drugs And Medical Supplies,"6,633.85",,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,415,Electricity,"3,498.40",,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,425,Gasoline,"5,749.17",,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,434,Natural Gas,"1,711.15",,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,435,Office Supplies,588.62,,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,451,Uniforms,"1,574.81",,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,454,Water And Sewer,"1,263.72",,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,499,Other Supplies And Materials,174.11,,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,509,Refunds,431.85,,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,718,Motor Vehicles,"26,017.50",,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55130,Ambulance/Emergency Medical Services,,,,"318,335.34",FY10.pdf,9
55000 - Public Health and Welfare,FY10,55170,Alcohol And Drug Programs,368,Drug Treatment,574.76,,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55170,Alcohol And Drug Programs,499,Other Supplies And Materials,"2,496.60",,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55170,Alcohol And Drug Programs,,,,"3,071.36",FY10.pdf,9
55000 - Public Health and Welfare,FY10,55310,Regional Mental Health Center,310,Contracts With Other Public Agencies,"2,500.00",,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55310,Regional Mental Health Center,,,,"2,500.00",FY10.pdf,9
55000 - Public Health and Welfare,FY10,55751,Recycling Center,452,Utilities,0,,FY10.pdf,9
55000 - Public Health and Welfare,FY10,55751,Recycling Center,,,,0,FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56300,Senior Citizens Assistance,316,Contributions,"7,000.00",,FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56300,Senior Citizens Assistance,,,,"7,000.00",FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,105,Supervisor/Director,"25,374.88",,FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,169,Part-Time Personnel,"29,150.01",,FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,186,Longevity Pay,"2,000.00",,FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,196,In-Service Training,-30,,FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,307,Communication,"1,283.27",,FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,317,Data Processing Services,"1,044.73",,FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,320,Dues And Memberships,45,,FY10.pdf,9
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,335,Maintenance And Repair Services-Buildir,"1,339.28",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,347,Pest Control,247,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,348,Postal Charges,949.78,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,349,"Printing, Stationery And Forms",59.4,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,355,Travel,552.15,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,410,Custodial Supplies,855.95,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,415,Electricity,"4,291.52",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,429,Instructional Supplies,519.75,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,432,Library Books/Media,"4,202.88",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,434,Natural Gas,"2,110.09",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,435,Office Supplies,"1,024.63",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,437,Periodicals,534.94,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,454,Water And Sewer,"1,247.21",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,719,Office Equipment,"1,093.97",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56500,Libraries,,,,"77,896.44",FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,103,Assistant(s),0,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,105,Supervisor/Director,"8,718.62",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,164,Attendants,"4,453.30",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,307,Communication,626.79,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,320,Dues And Memberships,340,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,335,Maintenance And Repair Services-Buildir,"8,788.39",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,336,Maintenance And Repair Services-Equipr,"7,574.21",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,351,Rentals,651,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,415,Electricity,"8,908.57",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,426,General Construction Materials,"272,169.28",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,434,Natural Gas,405.94,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,454,Water And Sewer,"9,287.27",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,468,Chemicals,263.87,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,499,Other Supplies And Materials,"30,700.00",,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,599,Other Charges,0,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,717,Maintenance Equipment,0,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,790,Other Equipment,0,,FY10.pdf,10
"56000 - Social, Cultural, and Recreational Services",FY10,56700,Parks And Fair Boards,,,,"352,887.24",FY10.pdf,10
57000 - Agricultural and Natural Resources,FY10,57100,Agricultural Extension Service,140,Salary Supplements,"31,238.95",,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57100,Agricultural Extension Service,169,Part-Time Personnel,"6,800.52",,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57100,Agricultural Extension Service,186,Longevity Pay,0,,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57100,Agricultural Extension Service,307,Communication,883.33,,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57100,Agricultural Extension Service,317,Data Processing Services,"1,000.00",,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57100,Agricultural Extension Service,355,Travel,"6,256.69",,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57100,Agricultural Extension Service,435,Office Supplies,416.5,,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57100,Agricultural Extension Service,599,Other Charges,430,,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57100,Agricultural Extension Service,,,,"47,025.99",FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57300,Forest Service,309,Contracts With Government Agencies,350,,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57300,Forest Service,,,,350,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57500,Soil Conservation,307,Communication,311.99,,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57500,Soil Conservation,339,Matching Share,"5,163.00",,FY10.pdf,11
57000 - Agricultural and Natural Resources,FY10,57500,Soil Conservation,,,,"5,474.99",FY10.pdf,11
58000 - Other Operations,FY10,58110,Tourism,320,Dues And Memberships,"3,000.00",,FY10.pdf,11
58000 - Other Operations,FY10,58110,Tourism,335,Maintenance And Repair Services-Buildir,0,,FY10.pdf,11
58000 - Other Operations,FY10,58110,Tourism,410,Custodial Supplies,0,,FY10.pdf,11
58000 - Other Operations,FY10,58110,Tourism,415,Electricity,866.89,,FY10.pdf,11
58000 - Other Operations,FY10,58110,Tourism,434,Natural Gas,325.94,,FY10.pdf,11
58000 - Other Operations,FY10,58110,Tourism,454,Water And Sewer,985.73,,FY10.pdf,11
58000 - Other Operations,FY10,58110,Tourism,599,Other Charges,"2,000.00",,FY10.pdf,11
58000 - Other Operations,FY10,58110,Tourism,,,,"7,178.56",FY10.pdf,11
58000 - Other Operations,FY10,58190,Other Economic And Community Development,316,Contributions,0,,FY10.pdf,11
58000 - Other Operations,FY10,58190,Other Economic And Community Development,,,,0,FY10.pdf,11
58000 - Other Operations,FY10,58300,Veteran's Services,101,County Official/Administrative Officer,"1,567.92",,FY10.pdf,11
58000 - Other Operations,FY10,58300,Veteran's Services,,,,"1,567.92",FY10.pdf,11
58000 - Other Operations,FY10,58600,Employee Benefits,201,Social Security,"119,956.37",,FY10.pdf,11
58000 - Other Operations,FY10,58600,Employee Benefits,204,State Retirement,"40,784.82",,FY10.pdf,11
58000 - Other Operations,FY10,58600,Employee Benefits,205,Employee And Dependent Insurance,"372,247.45",,FY10.pdf,11
58000 - Other Operations,FY10,58600,Employee Benefits,210,Unemployment Compensation,"1,487.59",,FY10.pdf,12
58000 - Other Operations,FY10,58600,Employee Benefits,211,Local Retirement,"13,535.00",,FY10.pdf,12
58000 - Other Operations,FY10,58600,Employee Benefits,,,,"548,011.23",FY10.pdf,12
,FY10,,Fund 101 Total,,,,"3,418,190.11",FY10.pdf,12
51000 - General Government,FY11,51100,County Commission,199,Other Per Diem & Fees,"3,660.00",,FY11.pdf,1
51000 - General Government,FY11,51100,County Commission,305,Audit Services,"1,722.00",,FY11.pdf,1
51000 - General Government,FY11,51100,County Commission,320,Dues And Memberships,"1,020.00",,FY11.pdf,1
51000 - General Government,FY11,51100,County Commission,330,Operating Lease Payments,0,,FY11.pdf,1
51000 - General Government,FY11,51100,County Commission,506,Liability Insurance,"59,042.00",,FY11.pdf,1
51000 - General Government,FY11,51100,County Commission,510,Trustee's Commission,"41,845.02",,FY11.pdf,1
51000 - General Government,FY11,51100,County Commission,513,Workman's Compensation Insurance,"20,620.00",,FY11.pdf,1
51000 - General Government,FY11,51100,County Commission,,,,"127,909.02",FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,101,County Official/Administrative Officer,"60,346.80",,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,119,Accountants/Bookkeepers,"29,711.84",,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,186,Longevity Pay,"1,000.00",,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,196,In-Service Training,0,,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,307,Communication,"1,200.70",,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,317,Data Processing Services,"4,704.00",,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,320,Dues And Memberships,"5,175.00",,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,332,"Legal Notices, Recording And Court Cost","12,127.44",,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,349,"Printing, Stationery And Forms",943.72,,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,355,Travel,139.64,,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,508,Premiums On Corporate Surety Bonds,266,,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,599,Other Charges,151,,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,719,Office Equipment,994.25,,FY11.pdf,1
51000 - General Government,FY11,51300,County Mayor/Executive,,,,"116,760.39",FY11.pdf,1
51000 - General Government,FY11,51400,County Attorney,101,County Official/Administrative Officer,"6,367.00",,FY11.pdf,1
51000 - General Government,FY11,51400,County Attorney,,,,"6,367.00",FY11.pdf,1
51000 - General Government,FY11,51500,Election Commission,101,County Official/Administrative Officer,"47,025.84",,FY11.pdf,1
51000 - General Government,FY11,51500,Election Commission,189,Other Salaries & Wages,"2,490.00",,FY11.pdf,1
51000 - General Government,FY11,51500,Election Commission,192,Election Commission,0,,FY11.pdf,1
51000 - General Government,FY11,51500,Election Commission,193,Election Workers,"4,672.00",,FY11.pdf,1
51000 - General Government,FY11,51500,Election Commission,196,In-Service Training,100,,FY11.pdf,1
51000 - General Government,FY11,51500,Election Commission,307,Communication,843.14,,FY11.pdf,1
51000 - General Government,FY11,51500,Election Commission,320,Dues And Memberships,120,,FY11.pdf,1
51000 - General Government,FY11,51500,Election Commission,332,"Legal Notices, Recording And Court Cost","2,442.84",,FY11.pdf,1
51000 - General Government,FY11,51500,Election Commission,337,Maintenance And Repair Services-Office,"3,200.00",,FY11.pdf,2
51000 - General Government,FY11,51500,Election Commission,348,Postal Charges,498.61,,FY11.pdf,2
51000 - General Government,FY11,51500,Election Commission,349,"Printing, Stationery And Forms","1,966.47",,FY11.pdf,2
51000 - General Government,FY11,51500,Election Commission,355,Travel,"3,622.96",,FY11.pdf,2
51000 - General Government,FY11,51500,Election Commission,399,Other Contracted Services,"4,138.58",,FY11.pdf,2
51000 - General Government,FY11,51500,Election Commission,435,Office Supplies,27.97,,FY11.pdf,2
51000 - General Government,FY11,51500,Election Commission,719,Office Equipment,158.4,,FY11.pdf,2
51000 - General Government,FY11,51500,Election Commission,,,,"71,306.81",FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,101,County Official/Administrative Officer,"52,251.08",,FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,169,Part-Time Personnel,"1,167.50",,FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,307,Communication,"1,412.64",,FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,320,Dues And Memberships,380,,FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,334,Maintenance Agreements,"1,613.75",,FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,349,"Printing, Stationery And Forms","2,805.19",,FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,355,Travel,110.95,,FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,508,Premiums On Corporate Surety Bonds,266,,FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,719,Office Equipment,"1,943.69",,FY11.pdf,2
51000 - General Government,FY11,51600,Register Of Deeds,,,,"61,950.80",FY11.pdf,2
51000 - General Government,FY11,51720,Planning,101,County Official/Administrative Officer,"4,576.56",,FY11.pdf,2
51000 - General Government,FY11,51720,Planning,307,Communication,402.31,,FY11.pdf,2
51000 - General Government,FY11,51720,Planning,309,Contracts With Government Agencies,"8,250.00",,FY11.pdf,2
51000 - General Government,FY11,51720,Planning,332,"Legal Notices, Recording And Court Cost",0,,FY11.pdf,2
51000 - General Government,FY11,51720,Planning,399,Other Contracted Services,"3,150.00",,FY11.pdf,2
51000 - General Government,FY11,51720,Planning,435,Office Supplies,13.41,,FY11.pdf,2
51000 - General Government,FY11,51720,Planning,599,Other Charges,245.8,,FY11.pdf,2
51000 - General Government,FY11,51720,Planning,,,,"16,638.08",FY11.pdf,2
51000 - General Government,FY11,51800,County Buildings,166,Custodial Personnel,"15,600.00",,FY11.pdf,2
51000 - General Government,FY11,51800,County Buildings,332,"Legal Notices, Recording And Court Cost",540,,FY11.pdf,2
51000 - General Government,FY11,51800,County Buildings,335,Maintenance And Repair Services-Buildir,"15,118.06",,FY11.pdf,2
51000 - General Government,FY11,51800,County Buildings,347,Pest Control,317,,FY11.pdf,2
51000 - General Government,FY11,51800,County Buildings,348,Postal Charges,"4,346.01",,FY11.pdf,2
51000 - General Government,FY11,51800,County Buildings,410,Custodial Supplies,"3,365.14",,FY11.pdf,2
51000 - General Government,FY11,51800,County Buildings,415,Electricity,"14,919.66",,FY11.pdf,3
51000 - General Government,FY11,51800,County Buildings,426,General Construction Materials,"14,796.61",,FY11.pdf,3
51000 - General Government,FY11,51800,County Buildings,434,Natural Gas,"4,705.60",,FY11.pdf,3
51000 - General Government,FY11,51800,County Buildings,435,Office Supplies,"3,575.08",,FY11.pdf,3
51000 - General Government,FY11,51800,County Buildings,454,Water And Sewer,"3,388.48",,FY11.pdf,3
51000 - General Government,FY11,51800,County Buildings,499,Other Supplies And Materials,9,,FY11.pdf,3
51000 - General Government,FY11,51800,County Buildings,,,,"80,680.64",FY11.pdf,3
51000 - General Government,FY11,51910,Preservation Of Records,169,Part-Time Personnel,"3,281.39",,FY11.pdf,3
51000 - General Government,FY11,51910,Preservation Of Records,307,Communication,683.49,,FY11.pdf,3
51000 - General Government,FY11,51910,Preservation Of Records,317,Data Processing Services,47.4,,FY11.pdf,3
51000 - General Government,FY11,51910,Preservation Of Records,334,Maintenance Agreements,465.72,,FY11.pdf,3
51000 - General Government,FY11,51910,Preservation Of Records,348,Postal Charges,90.09,,FY11.pdf,3
51000 - General Government,FY11,51910,Preservation Of Records,435,Office Supplies,"4,294.82",,FY11.pdf,3
51000 - General Government,FY11,51910,Preservation Of Records,,,,"8,862.91",FY11.pdf,3
52000 - Finance,FY11,52300,Property Assessor's Office,101,County Official/Administrative Officer,"52,250.88",,FY11.pdf,3
52000 - Finance,FY11,52300,Property Assessor's Office,169,Part-Time Personnel,"10,651.76",,FY11.pdf,3
52000 - Finance,FY11,52300,Property Assessor's Office,196,In-Service Training,0,,FY11.pdf,3
52000 - Finance,FY11,52300,Property Assessor's Office,199,Other Per Diem & Fees,869.43,,FY11.pdf,3
52000 - Finance,FY11,52300,Property Assessor's Office,307,Communication,393.93,,FY11.pdf,3
52000 - Finance,FY11,52300,Property Assessor's Office,317,Data Processing Services,"2,284.39",,FY11.pdf,3
